11,0,1,2,3,4,5,6,7
120398,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_61,train,do you sell my data,"These third parties include (1) business partners, who collect information when you view or interact with one of their advertisements on our sites, and (2) advertising networks, who collect information about your interests when you view or interact with one of the advertisements they place on many different websites on the Internet.",Relevant
120399,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_62,train,do you sell my data,"The information gathered by these third parties is used to make predictions about your characteristics, interests or preferences and to display advertisements on our sites and across the Internet tailored to your apparent interests.",Relevant
120400,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_63,train,do you sell my data,"Please note that we do not have access to or control over cookies or other technologies these third parties may use to collect information about your interests, and the information practices of these third parties are not covered by this Privacy Policy.",Relevant
120411,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_74,train,do you sell my data,TripAdvisor may share your information with the following entities:,Relevant
120412,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_75,train,do you sell my data,"Suppliers,including but not limited to hotel, airline, cruise, car rental, or activity providers, or vacation rental managers or owners who fulfill your travel reservations.",Relevant
120413,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_76,train,do you sell my data,"Throughout TripAdvisor and its affiliated sites, all products and services provided by third-party suppliers are described as such.",Relevant
120414,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_77,train,do you sell my data,"Information that we share with suppliers to facilitate reservations will be treated according to applicable suppliers privacy policies, except for payment information.",Relevant
120415,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_78,train,do you sell my data,"We share payment information only when it is necessary for travel reservations facilitated through or made on TripAdvisor, and we restrict suppliers use of payment information for these purposes.",Relevant
120418,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_81,train,do you sell my data,"Third-party vendors who provide services or functions on our behalf, including business analytics, payment processing, customer service, marketing, public relations, distribution of surveys or sweepstakes programs, and fraud prevention.",Relevant
120419,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_82,train,do you sell my data,"We may also authorize third-party vendors to collect information on our behalf, including, for example, as necessary to operate features of our Website or to facilitate the delivery of online advertising tailored to your interests.",Relevant
120420,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_83,train,do you sell my data,Third-party vendors have access to and may collect information only as needed to perform their functions and are not permitted to share or use the information for any other purpose.,Relevant
120421,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_84,train,do you sell my data,Business partners with whom we may offer products or services in conjunction.,Relevant
120422,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_85,train,do you sell my data,You can tell when a third party is involved in a product or service you have requested because their name will appear either with ours or separately.,Relevant
120423,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_86,train,do you sell my data,"If you choose to access these optional services, we may share information about you, including your personal information, with those partners.",Relevant
120426,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_89,train,do you sell my data,"If you were referred to TripAdvisor from another website, we may share your registration information, such as your name, email address, mailing address, telephone number and travel preferences, about you with that referring website.",Relevant
120427,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_90,train,do you sell my data,We have not placed limitations on the referring websites use of personal information and we encourage you to review the privacy policies of any website that referred you to TripAdvisor.,Relevant
120429,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_92,train,do you sell my data,You can choose to access certain third party social media websites and services through our site (such as Facebook).,Relevant
120430,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_93,train,do you sell my data,"When you do so, you are sharing information with those sites, and the information you share will be governed by their privacy policies.",Relevant
120433,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_96,train,do you sell my data,"We may share your personal information within the TripAdvisor Media Group, as well as with our parent companies and domestic and international corporate affiliate companies and websites.",Relevant
120435,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_98,train,do you sell my data,"To the extent that our parent company and corporate affiliates have access to your information, they will follow practices that are at least as restrictive as the practices described in this Privacy Policy.",Relevant
120437,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_100,train,do you sell my data,"We also may share your information if we believe, in our sole discretion, that such disclosure is necessary",Relevant
120438,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_101,train,do you sell my data,"To comply with legitimate and enforceable subpoenas, court orders, or other legal process; to establish or exercise our legal rights; to defend against legal claims; or as otherwise required by law.",Relevant
120444,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_107,train,do you sell my data,"Additionally, if you choose to participate in our member-to-member communications programs, other TripAdvisor members may contact you by using TripAdvisor as an intermediary; however, TripAdvisor will not share your email address with any other members nor display it any public manner.",Relevant
120447,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_110,train,do you sell my data,"We also may share aggregate or anonymous information with third parties, including advertisers and investors.",Relevant
120448,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_111,train,do you sell my data,"For example, we may tell our advertisers the number of visitors our Website receives or the most popular hotels and vacation destinations.",Relevant
120449,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_112,train,do you sell my data,This information does not contain any personal information and is used to develop content and services we hope you will find of interest.,Relevant
120674,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_5,TripAdvisor Hotels Flights Restaurants Attractions _18_5_13,train,what information is shared with others.,We have partnered with Facebook to provide personalized content on TripAdvisor for members of Facebook.,Relevant
120675,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_5,TripAdvisor Hotels Flights Restaurants Attractions _18_5_14,train,what information is shared with others.,"If you are logged into Facebook and TripAdvisor, TripAdvisor will be personalized for you when you visit the Website, even if you are a first-time user of TripAdvisors Website.",Relevant
120676,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_5,TripAdvisor Hotels Flights Restaurants Attractions _18_5_15,train,what information is shared with others.,"For example, we will show you reviews that your Facebook friends have posted on TripAdvisor and places they have visited.",Relevant
120677,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_5,TripAdvisor Hotels Flights Restaurants Attractions _18_5_16,train,what information is shared with others.,"In order to provide you with this personalized experience, Facebook provides us with information that you have chosen to make available pursuant to your Facebook privacy settings.",Relevant
120678,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_5,TripAdvisor Hotels Flights Restaurants Attractions _18_5_17,train,what information is shared with others.,"That information may include your name, profile picture, gender, friend lists and any other information you have chosen to make available.",Relevant
120679,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_5,TripAdvisor Hotels Flights Restaurants Attractions _18_5_18,train,what information is shared with others.,"If you decide to turn off personalization, you can do so by first logging into Facebook and (1) selecting Edit your profile from the Your TripAdvisor drop-down menu on the Member Profile page and clicking Disconnect in the Facebook Connect status box, or (2) selecting Connected accounts from the Your TripAdvisor drop-down menu on the Member Profile page and clicking Disconnect under Facebook Settings. You can also turn off personalization by editing your app settings on Facebook.",Relevant
120720,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_5,TripAdvisor Hotels Flights Restaurants Attractions _18_5_59,train,what information is shared with others.,Many of the advertisements you see on the TripAdvisor family of sites are served by TripAdvisor or its service providers.,Relevant
120721,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_5,TripAdvisor Hotels Flights Restaurants Attractions _18_5_60,train,what information is shared with others.,But we also allow third parties to collect information about your online activities through cookies and other technologies.,Relevant
120722,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_5,TripAdvisor Hotels Flights Restaurants Attractions _18_5_61,train,what information is shared with others.,"These third parties include (1) business partners, who collect information when you view or interact with one of their advertisements on our sites, and (2) advertising networks, who collect information about your interests when you view or interact with one of the advertisements they place on many different websites on the Internet.",Relevant
120723,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_5,TripAdvisor Hotels Flights Restaurants Attractions _18_5_62,train,what information is shared with others.,"The information gathered by these third parties is used to make predictions about your characteristics, interests or preferences and to display advertisements on our sites and across the Internet tailored to your apparent interests.",Relevant
120724,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_5,TripAdvisor Hotels Flights Restaurants Attractions _18_5_63,train,what information is shared with others.,"Please note that we do not have access to or control over cookies or other technologies these third parties may use to collect information about your interests, and the information practices of these third parties are not covered by this Privacy Policy.",Relevant
120735,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_5,TripAdvisor Hotels Flights Restaurants Attractions _18_5_74,train,what information is shared with others.,TripAdvisor may share your information with the following entities:,Relevant
120736,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_5,TripAdvisor Hotels Flights Restaurants Attractions _18_5_75,train,what information is shared with others.,"Suppliers,including but not limited to hotel, airline, cruise, car rental, or activity providers, or vacation rental managers or owners who fulfill your travel reservations.",Relevant
120737,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_5,TripAdvisor Hotels Flights Restaurants Attractions _18_5_76,train,what information is shared with others.,"Throughout TripAdvisor and its affiliated sites, all products and services provided by third-party suppliers are described as such.",Relevant
120738,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_5,TripAdvisor Hotels Flights Restaurants Attractions _18_5_77,train,what information is shared with others.,"Information that we share with suppliers to facilitate reservations will be treated according to applicable suppliers privacy policies, except for payment information.",Relevant
120739,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_5,TripAdvisor Hotels Flights Restaurants Attractions _18_5_78,train,what information is shared with others.,"We share payment information only when it is necessary for travel reservations facilitated through or made on TripAdvisor, and we restrict suppliers use of payment information for these purposes.",Relevant
120742,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_5,TripAdvisor Hotels Flights Restaurants Attractions _18_5_81,train,what information is shared with others.,"Third-party vendors who provide services or functions on our behalf, including business analytics, payment processing, customer service, marketing, public relations, distribution of surveys or sweepstakes programs, and fraud prevention.",Relevant
120743,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_5,TripAdvisor Hotels Flights Restaurants Attractions _18_5_82,train,what information is shared with others.,"We may also authorize third-party vendors to collect information on our behalf, including, for example, as necessary to operate features of our Website or to facilitate the delivery of online advertising tailored to your interests.",Relevant
120744,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_5,TripAdvisor Hotels Flights Restaurants Attractions _18_5_83,train,what information is shared with others.,Third-party vendors have access to and may collect information only as needed to perform their functions and are not permitted to share or use the information for any other purpose.,Relevant
120745,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_5,TripAdvisor Hotels Flights Restaurants Attractions _18_5_84,train,what information is shared with others.,Business partners with whom we may offer products or services in conjunction.,Relevant
120746,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_5,TripAdvisor Hotels Flights Restaurants Attractions _18_5_85,train,what information is shared with others.,You can tell when a third party is involved in a product or service you have requested because their name will appear either with ours or separately.,Relevant
